cnpjPartido;recibo;cnpjDoador;data;valor;id;sigla
84638196000134;00038022;03432371000130;25-AUG-14;2000;2369;PMDB
24774358000130;660046000302175;03463809000148;03-OCT-14;15000;2370;PSB 
20633181000109;9586779;03472750000154;02/09/2014;20000;2371;PP
20633181000109;5271032;03472750000154;05/09/2014;10000;2372;PP
03475971000186;850217;03475971000186;23-JUL-14;250000;2373;PSB 
03475971000186;100486;03475971000186;25-SEP-14;500000;2374;PSB 
03475971000186;850212;03475971000186;10-JUL-14;500000;2375;PSB 
03475971000186;850218;03475971000186;31-JUL-14;150000;2376;PSB 
01131627000144; ;03479587000151;26-SEP-14;100000;2377;PSDB
01131627000144; ;03479587000151;29-SEP-14;38000;2378;PSDB
01131627000144; ;03479587000151;29-SEP-14;3000;2379;PSDB
20609050000188;7189666;03485572000104;19/08/2014;50000;2380;PT
20609050000188;8254419;03485572000104;20/08/2014;50000;2381;PT
20609050000188;878131;03485572000104;21/08/2014;50000;2382;PT
20609050000188;9609793;03485572000104;22/08/2014;50000;2383;PT
20609050000188;3657762;03485572000104;25/08/2014;50000;2384;PT
20609050000188;4843420;03485572000104;27/08/2014;50000;2385;PT
20609050000188;5624888;03485572000104;28/08/2014;50000;2386;PT
20609050000188;4156944;03485572000104;26/08/2014;50000;2387;PT
20609050000188;7462383;03485572000104;29/08/2014;50000;2388;PT
20609050000188;8458607;03485572000104;01/09/2014;50000;2389;PT
20558161000102;1500504;03485775000192;15/10/2014;20000;2390;PSDB
50866821000183;9799041;03502064000189;03-DEC-14;2000;2391;PT
00676262000170;9527000;03505185000184;03-OCT-14;100000;2392;PT
00676262000170;9286550;03505185000184;24-SEP-14;170000;2393;PT
01633510000169;8939839;03505185000184;23-SEP-14;500000;2394;DEM 
07473085000174;3078244;03505185000184;03-SEP-14;40000;2395;PT
20758741000143;8860946;03505185000184;23/09/2014;20000;2396;PSDB
74703034000189;000;03505185000184;16-SEP-14;80000;2397;PP
87582714000133;7770;03505185000184;25-SEP-14;50000;2398;PMDB
87582714000133;011414;03505185000184;26-SEP-14;40000;2399;PMDB
91340083000113;6900774;03505185000184;30-SEP-14;90000;2400;PT
74703034000189;000;03506307000157;17-SEP-14;100000;2401;PP
03518656000199;0397;03518656000199;04-SEP-14;70000;2402;PTB 
03518656000199;0205;03518656000199;14-JUL-14;850000;2403;PTB 
03518656000199;0202;03518656000199;14-JUL-14;2000000;2404;PTB 
03518656000199;0204;03518656000199;14-JUL-14;602000;2405;PTB 
03518656000199;850136;03518656000199;07-AUG-14;85800;2406;PTB 
03518656000199;850139;03518656000199;08-AUG-14;50000;2407;PTB 
03518656000199;850125;03518656000199;04-AUG-14;250000;2408;PTB 
03518656000199;850126;03518656000199;05-AUG-14;250000;2409;PTB 
03518656000199;850128;03518656000199;04-AUG-14;241300;2410;PTB 
03518656000199;203;03518656000199;14-JUL-14;1537000;2411;PTB 
24059610000129;7159006;03522326000177;04-NOV-14;160000;2412;PSDB
05281237000101;237;03532190000186;30-SEP-14;10000;2413;PSL 
19398512000186;000237;03540153000110;17-OCT-14;150000;2414;PROS
59941682000180;006931;03548440000176;28-AUG-14;4000;2415;PSDB
20609054000166; ;03551401000128;18/07/2014;25500;2416;PMDB
20609054000166; ;03551401000128;05/09/2014;2550;2417;PMDB
20609054000166; ;03551401000128;05/09/2014;2550;2418;PMDB
20609054000166; ;03551401000128;05/09/2014;2550;2419;PMDB
20609054000166; ;03551401000128;05/09/2014;2550;2420;PMDB
20609054000166; ;03551401000128;05/09/2014;2550;2421;PMDB
20609054000166; ;03551401000128;05/09/2014;2550;2422;PMDB
20609054000166; ;03551401000128;05/09/2014;2550;2423;PMDB
20609054000166; ;03551401000128;05/09/2014;2550;2424;PMDB
20609054000166; ;03551401000128;05/09/2014;2550;2425;PMDB
20609054000166; ;03551401000128;05/09/2014;2550;2426;PMDB
20609054000166; ;03551401000128;05/09/2014;2550;2427;PMDB
20609054000166; ;03551401000128;05/09/2014;2550;2428;PMDB
20609054000166; ;03551401000128;05/09/2014;2550;2429;PMDB
20609054000166; ;03551401000128;05/09/2014;2550;2430;PMDB
20609054000166; ;03551401000128;05/09/2014;2550;2431;PMDB
00676213000138;4784577;03568496000192;11-JUL-14;250000;2432;PMDB
00676262000170;4462809;03568496000192;04-AUG-14;200000;2433;PT
00887169000105;9226897;03568496000192;11-SEP-14;150000;2434;PP
20632466000117;00033;03568496000192;25/07/2014;1000000;2435;PMDB
30902811000149;000341;03568496000192;22-SEP-14;70000;2436;PMDB
02010551000161;TRCM06B;03573324000298;12-SEP-14;200000;2437;PMDB
50866821000183;3586227000159;03586227000159;11-DEC-14;24610;2438;PT
01875640000108;850019;03605136000113;10-SEP-14;1300000;2439;PTB 
01875640000108;850057;03605136000113;02-OCT-14;250000;2440;PTB 
01875640000108;850006;03605136000113;08-AUG-14;200000;2441;PTB 
01875640000108;850018;03605136000113;04-SEP-14;100000;2442;PTB 
01875640000108;551003000043225;03605136000113;26-AUG-14;500000;2443;PTB 
01875640000108;850005;03605136000113;22-JUL-14;700000;2444;PTB 
01875640000108;850020;03605136000113;10-SEP-14;300000;2445;PTB 
03518656000199;850013;03605136000113;16-SEP-14;250000;2446;PTB 
03518656000199;850065;03605136000113;03-OCT-14;750000;2447;PTB 
03518656000199;850030;03605136000113;12-SEP-14;300000;2448;PTB 
03518656000199;850053;03605136000113;23-SEP-14;368000;2449;PTB 
03518656000199;850014;03605136000113;15-SEP-14;150000;2450;PTB 
03605136000113;850122;03605136000113;01-SEP-14;100000;2451;PTB 
03605136000113;850120;03605136000113;21-AUG-14;29500;2452;PTB 
08089658000123;850061;03605136000113;03-OCT-14;200000;2453;PTB 
08089658000123;850059;03605136000113;03-OCT-14;99600;2454;PTB 
08089658000123;850060;03605136000113;03-OCT-14;200000;2455;PTB 
34326215000119;850007;03605136000113;15-AUG-14;200000;2456;PTB 
34326215000119;850029;03605136000113;12-SEP-14;200000;2457;PTB 
03653474000120;007178;03624070000109;20-OCT-14;30500;2458;PSDB
59941682000180;4258000;03624498000151;26-SEP-14;100000;2459;PSDB
16714353000193;801997;03633447000196;26-AUG-14;30000;2460;PEN 
20609045000175;9802054;03633447000196;03/10/2014;50000;2461;PT
30902811000149;000341;03633447000196;03-OCT-14;200000;2462;PMDB
30902811000149;000341;03633447000196;08-SEP-14;100000;2463;PMDB
20633183000190;1022467;03633502000148;26/10/2014;600000;2464;PROS
20633183000190;1022467;03633502000148;27/10/2014;100000;2465;PROS
74703034000189;000;03639398000107;26-SEP-14;10000;2466;PP
00087436000160;662945000452014;03653474000120;24-OCT-14;200000;2467;PSDB
00087436000160;662945000045201;03653474000120;11-AUG-14;200000;2468;PSDB
00087436000160;662945000452014;03653474000120;11-SEP-14;217000;2469;PSDB
01131627000144; ;03653474000120;24-OCT-14;200000;2470;PSDB
01131627000144; ;03653474000120;27-AUG-14;60000;2471;PSDB
01131627000144; ;03653474000120;23-SEP-14;140000;2472;PSDB
01131627000144; ;03653474000120;17-OCT-14;1000000;2473;PSDB
01248362000169;662945000452014;03653474000120;03-OCT-14;150000;2474;PTN 
01944116000141;SN;03653474000120;17-OCT-14;15000;2475;PSDB
01944116000141;SN;03653474000120;17-OCT-14;185000;2476;PSDB
03653474000120;000045;03653474000120;03-OCT-14;310000;2477;PSDB
03653474000120;662945000000045;03653474000120;26-SEP-14;70000;2478;PSDB
03653474000120;662945000000045;03653474000120;17-SEP-14;715000;2479;PSDB
03653474000120;000045;03653474000120;01-OCT-14;500000;2480;PSDB
03653474000120;000045;03653474000120;02-SEP-14;620000;2481;PSDB
03653474000120;000045;03653474000120;03-OCT-14;80000;2482;PSDB
03653474000120;452014;03653474000120;12-NOV-14;500000;2483;PSDB
03653474000120; ;03653474000120;23-JUL-14;935.06;2484;PSDB
03653474000120; ;03653474000120;23-JUL-14;4200;2485;PSDB
03653474000120; ;03653474000120;16-JUL-14;76446.4;2486;PSDB
03653474000120; ;03653474000120;10-JUL-14;80000;2487;PSDB
03653474000120; ;03653474000120;07-JUL-14;30000;2488;PSDB
