cnpj;setor;nome;ID
10585355000143;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;PRAIA PRODUCOES DE FILMES PARA PUBLICIDADE LTDA. - ME;1321
10616400000180;Comércio varejista de materiais de construção em geral;W & M COM. DE MATERIAIS PARA CONSTRUCAO LTDA - EPP;1322
10616400000260;Comércio varejista de material elétrico;W & M COM. DE MATERIAIS PARA CONSTRUCAO LTDA - EPP;1323
10631969000114;Atividades de contabilidade;MONTEIRO SOUZA ASSESSORIA CONTABIL S/S LTDA - ME;1324
10635979000128;Serviços combinados de escritório e apoio administrativo;A GUERRA FURTADO - ME;1325
10636550000155;Impressão de material para uso publicitário;IMPRESSAO DIGITAL STUDIO X LTDA- ME;1326
10637472000103;Impressão de material para outros usos;OLIVER PRINT ADESIVOS LTDA - ME;1327
10642955000104;Comércio varejista de combustíveis para veículos automotores;S D AUTO POSTO LTDA - ME;1328
10656452000180;Fabricação de cimento;VOTORANTIM CIMENTOS N/NE S/A;1329
10668049000170;Locação de mão-de-obra temporária;AMERICA TERCEIRIZACAO EIRELI;1330
10673246000188;Comércio varejista de combustíveis para veículos automotores;POSTO SAO BERNARDO LTDA - ME;1331
10696683000117;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;PULO DO GATO FILMES LTDA - ME;1332
10701824000142;Serviços de malote não realizados pelo Correio Nacional;F C LOGISTICA LTDA - ME;1333
10703258000108;Instalação de painéis publicitários;JM COMUNICACAO VISUAL LTDA- ME;1334
10715253000103;Serviços de pré-impressão;GRAFICA ITAUNA LTDA - ME;1335
10727791000100;Gestão de ativos intangíveis não-financeiros;WT FRANQUEADORA LTDA.;1336
10728901000158;Obras de urbanização - ruas, praças e calçadas;USICITY PAVIMENTACAO LTDA;1337
10778133000147;Comércio atacadista de medicamentos e drogas de uso humano;CEMA PRODUTOS PARA SAUDE LTDA - ME;1338
10807980000192;Compra e venda de imóveis próprios;TERRENOS E CONSTRUCOES SA;1339
10814130000111;Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;CAMILA AMELIA LOPES DA SILVA MOURA - ME;1340
10827681000110;Construção de edifícios;A. B. CORTE REAL & CIA. LTDA.;1341
10834298000199;Obras de terraplenagem;ARTE CONSTRUCOES EIRELI;1342
10840859000162;Comércio atacadista de artigos de escritório e de papelaria;L.R.D. COMERCIAL E PRESTACIONAL EIRELI - ME;1343
10848054000165;Serviços de engenharia;CZS ENGENHARIA LTDA;1344
10852073000165;Impressão de livros, revistas e outras publicações periódicas;GRAFICA CRIATIVA LTDA - ME;1345
10852696000138;Comércio varejista de artigos de papelaria;INOVA PAPELARIA INFORMATICA LTDA - ME;1346
10858291000107;Fabricação de vidro plano e de segurança;COMPANHIA BRASILEIRA DE VIDROS PLANOS - CBVP;1347
10880745000146;Incorporação de empreendimentos imobiliários;WOA EMPREENDIMENTOS IMOBILIARIOS LTDA.;1348
10900355000190;Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos;LAFERLINS LTDA;1349
10903988000152;Edição integrada à impressão de cadastros, listas e outros produtos gráficos;REGISTRO ARTES GRAFICA LTDA - ME;1350
10913161000120;Construção de rodovias e ferrovias;MAIS CONSTRUTORA LTDA;1351
10915101000146;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;ABJ COMERCIO AGRICOLA LTDA;1352
10978180000134;Comércio varejista de combustíveis para veículos automotores;RODOANEL SUL - COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA;1353
10990885000177;Incorporação de empreendimentos imobiliários;CONSTRUTORA CARRILHO LTDA;1354
11030816000184;Comércio varejista de combustíveis para veículos automotores;AUTO POSTO PONTEIO LTDA;1355
11058804000168;Extração de petróleo e gás natural;HRT O&G EXPLORACAO E PRODUCAO DE PETROLEO LTDA;1356
11077263000115;Comércio varejista de produtos saneantes domissanitários;AP COMERCIO, DISTRIBUIDORA, LOCACAO E SERVICOS LTDA - EPP;1357
11084194000177;Construção de embarcações de grande porte;VARD PROMAR S.A.;1358
11087773000173;Holdings de instituições não-financeiras;GRUPO SAGA S.A;1359
11101343000169;Impressão de material para uso publicitário;DINO GRAFICA E EDITORA LTDA - ME;1360
11120831000113;Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios;IMBRA - INDUSTRIA, LOCACAO E TRANSPORTE DE MAQUINAS PESADAS LTDA;1361
11141517000117;Instalação de painéis publicitários;GP SERVICOS PUBLICITARIOS LTDA- ME;1362
11148054000115;Impressão de material para uso publicitário;HANGAR 18 - COMUNICACAO VISUAL LTDA. - ME;1363
11178024000151;Construção de obras-de-arte especiais;CAMARGO CORREA CONSTRUCOES INDUSTRIAIS S.A;1364
11189245000125;Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;ALEX DESIGN COMUNICACAO VISUAL LTDA - ME;1365
11200595000145;Construção de embarcações de grande porte;ESTALEIRO JURONG ARACRUZ LTDA.;1366
11205119000117;Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios;ARCLIMA ENGENHARIA LTDA;1367
11220591000129;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal;MASTER'S LOCADORA E TRANSPORTE TURISTICO LTDA - ME;1368
11230122000190;Extração de petróleo e gás natural;PARNAIBA GAS NATURAL S.A.;1369
11234954000185;Fabricação de celulose e outras pastas para a fabricação de papel;CMPC CELULOSE RIOGRANDENSE LTDA;1370
11252559000125;Serviços combinados de escritório e apoio administrativo;LAMAR MACHADO GESTAO DE NEGOCIOS LTDA - ME;1371
11252642001095;Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório;TROMBINI EMBALAGENS S/A;1372
11261285000130;Incorporação de empreendimentos imobiliários;MRV ANCONA II INCORPORACOES LTDA;1373
11279865000155;Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;M H MED. SERVICOS MEDICOS HOSPITALARES LTDA;1374
11290701000129;Cultivo de laranja;SANTALICE ADMINISTRACAO LTDA.;1375
11300570000113;Compra e venda de imóveis próprios;PRUMO EMPREENDIMENTOS E PARTICIPACOES LTDA.;1376
11309073000186;Impressão de material para outros usos;FENIX ETIQUETAS ADESIVAS LTDA - ME;1377
11311623000100;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;NOILTON FRANCISCO G. DOS SANTOS PECAS E ACESSORIOS - ME;1378
11352784000133;Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente;METALSA BRASIL INDUSTRIA E COMERCIO DE AUTOPECAS LTDA.;1379
11366252000155;Construção de edifícios;GPO - GESTAO DE PROJETOS E OBRAS LTDA;1380
11370001000144;Comércio varejista de combustíveis para veículos automotores;AUTO POSTO VALE DO ARAGUAIA COMERCIO DE COMBUSTIVEL LTDA - ME;1381
11387050000190;Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente;BRASIL PLURAL CONSULTORIA E ASSESSORIA LTDA.;1382
11397672000280;Atividades de administração de fundos por contrato ou comissão;BRASIL PLURAL GESTAO DE RECURSOS LTDA.;1383
11408707000158;Incorporação de empreendimentos imobiliários;BMX REALIZACOES IMOBILIARIAS E PARTICIPACOES S/A;1384
11422179000191;Impressão de material para uso publicitário;J.P GRAFICA & EDITORA LTDA - EPP;1385
11425174000112;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;ECOPLACA COMERCIO DE PRODUTOS GRAFICOS LTDA - EPP;1386
11443954000195;Agências de publicidade;C.L. PUBLICIDADE LTDA - ME;1387
11448516000110;Outras atividades de publicidade não especificadas anteriormente;DORIA ASSOCIADOS CONSULTORIA LTDA.;1388
11459404000164;Impressão de material para outros usos;A B MILHOMENS - ME;1389
11460317000127;Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;BRASILIS/KADUNA CONSULTORIA E PARTICIPACOES LTDA.;1390
11487547000180;Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;GR TECH CONSTRUCOES E LOCACOES LTDA - EPP;1391
11490163000116;Incorporação de empreendimentos imobiliários;PALMO CONSTRUTORA E INCORPORADORA DE IMOVEIS LTDA;1392
11499476000135;Marketing direto;PARANA RIO COMUNICACAO E MARKTING LTDA - ME;1393
11517841000197;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;COMPANHIA SULAMERICANA DE DISTRIBUICAO;1394
11535028000140;Construção de edifícios;QUEIROZ GALVAO DESENVOLVIMENTO IMOBILIARIO S.A.;1395
11580358000157;Impressão de livros, revistas e outras publicações periódicas;UNICA INDUSTRIA GRAFICA E EDITORA LTDA.;1396
11592408000116;Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;MULTIPLO A SERVICO E COMERCIO LTDA - ME;1397
11604145000118;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;VERA E BORGES LTDA - ME;1398
11617955000109;Impressão de material para uso publicitário;MP COMUNICACAO VISUAL E DISTRIBUIDORA LTDA- ME;1399
11630367000105;Incorporação de empreendimentos imobiliários;CAPIXABA EMPREENDIMENTOS IMOBILIARIOS LTDA;1400
11630417000154;Incorporação de empreendimentos imobiliários;NOVO LAR GREENPORT SPE LTDA;1401
11630923000143;Outras obras de engenharia civil não especificadas anteriormente;MAF PROJETOS E OBRAS LTDA.;1402
11634787000240;Incorporação de empreendimentos imobiliários;DIRECIONAL PORTO ACRE EMPREENDIMENTOS IMOBILIARIOS LTDA;1403
11663852000185;Construção de rodovias e ferrovias;VIAPAV CONSTRUCOES LTDA;1404
11664185000155;Holdings de instituições não-financeiras;BOLOGNESI PARTICIPACOES S.A.;1405
11712776000150;Comércio por atacado de pneumáticos e câmaras-de-ar;DISTRIBUIDORA DE PNEUS MINAS GERAIS LTDA;1406
11723868000136;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;VIA PUBLICA COMUNICACAO LTDA - ME;1407
11723959000171;Fabricação de tintas, vernizes, esmaltes e lacas;LECOLAR COMERCIO E INDUSTRIA DE TINTAS LTDA;1408
11726521000147;Comércio por atacado de caminhões novos e usados;TRANSRIO CAMINHOES, ONIBUS, MAQUINAS E MOTORES LTDA;1409
11727257000166;Comércio a varejo de automóveis, camionetas e utilitários novos;ESTACAO JAPAN COMERCIO DE VEICULOS LTDA;1410
11744699000110;Geração de energia elétrica;PARNAIBA I GERACAO DE ENERGIA S.A;1411
11754525000139;Construção de embarcações de grande porte;ECOVIX - ENGEVIX CONSTRUCOES OCEANICAS S/A;1412
11773781000173;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;MAC-FORTE LOCACAO DE MAQUINAS LTDA;1413
11779969000129;Compra e venda de imóveis próprios;NE400 PARTICIPACOES S.A;1414
11794650000172;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;RODOFERTIL TRANSPORTE RODOVIARIO DE CARGAS LTDA - EPP;1415
11805397000105;Parques de diversão e parques temáticos;BEACH PARK HOTEIS E TURISMO S/A;1416
11806762000104;Fabricação de produtos diversos não especificados anteriormente;LITORANEA TENDAS E EVENTOS LTDA - EPP;1417
11828188000187;Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;ARIANA DE PAULA CANTEIRO - ME;1418
11831785000160;Frigorífico - abate de bovinos;MERCURIO FRIGORIFICO FABRIL E EXPORTADORA DE ALIMENTOS LTDA;1419
11839143000108;Incorporação de empreendimentos imobiliários;TARAUACA EMPREENDIMENTOS IMOBILIARIOS LTDA;1420
11845320000169;Comércio por atacado de pneumáticos e câmaras-de-ar;DISTRIBUIDORA DE PNEUS SAO PAULO LTDA;1421
11852870000105;Hotéis;HOTEL LAGHETTO PREMIUM LTDA - ME;1422
11862944000194;Construção de edifícios;QUEIROZ GALVAO TOWER DESENVOLVIMENTO IMOBILIARIO LTDA;1423
11863386000181;Serviços especializados para construção não especificados anteriormente;WANMIX CONCRETO LTDA.;1424
11867107000158;Geração de energia elétrica;ENERPLAN GERACAO DE ENERGIA ELETRICA S.A.;1425
11875238000187;Comércio varejista de combustíveis para veículos automotores;AUTO POSTO SPX I LTDA;1426
11882133000155;Atividades de contabilidade;AL ASSESSORIA EMPRESARIAL SOCIEDADE SIMPLES - ME;1427
11892153000107;Comércio varejista de artigos do vestuário e acessórios;LYON COMERCIO, IMPORTACAO E EXPORTACAO LTDA;1428
11911629000100;Incorporação de empreendimentos imobiliários;PARQUE ASTECA INCORPORACOES SPE LTDA;1429
11938087000169;Incorporação de empreendimentos imobiliários;J.L CONSTRUTORA E INCORPORADORA LTDA - ME;1430
11951913000100;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;LOKAL LOCACAO DE EQUIPAMENTOS INDUSTRIAIS LTDA - ME;1431
11959758000178;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;EQUIPE INFO COMUNICACAO VISUAL LTDA - ME;1432
11963399000122;Impressão de material para outros usos;LOTUS EDITORA LTDA - ME;1433
11973537000154;Comércio atacadista de fios e fibras beneficiados;C A V COMERCIAL IMPORTACAO E EXPORTACAO LTDA;1434
12015199000100;Incorporação de empreendimentos imobiliários;HANGAR EMPRESARIAL EMPREENDIMENTO IMOBILIARIO LTDA;1435
12015247000160;Incorporação de empreendimentos imobiliários;HANGAR HOTELEIRO EMPREENDIMENTO IMOBILIARIO LTDA.;1436
12049631000184;Construção de edifícios;MOURA DUBEUX ENGENHARIA S/A;1437
12085317000157;Incorporação de empreendimentos imobiliários;LAGOA EMPREENDIMENTOS IMOBILIARIOS LTDA;1438
12091019000170;Gestão e administração da propriedade imobiliária;RESERVICE - SERVICOS ADMINISTRATIVOS LTDA.;1439
12148129000120;Incorporação de empreendimentos imobiliários;G10 URBANISMO S/A;1440
12166030000151;Incorporação de empreendimentos imobiliários;MELNICK EVEN BRITA EMPREENDIMENTO IMOBILIARIO LTDA;1441
12180293000115;Incorporação de empreendimentos imobiliários;MELNICK EVEN HEMATITA EMPREENDIMENTO IMOBILIARIO LTDA;1442
12181953000182;Incorporação de empreendimentos imobiliários;MELNICK EVEN PEROLA EMPREENDIMENTO IMOBILIARIO LTDA;1443
12182033000189;Incorporação de empreendimentos imobiliários;MELNICK EVEN BASALTO EMPREENDIMENTO IMOBILIARIO LTDA;1444
12213443000140;Fabricação de farinha de milho e derivados, exceto óleos de milho;INDUSTRIAS REUNIDAS CORINGA LTDA;1445
12229415000110;Fabricação de açúcar em bruto;S A USINA CORURIPE ACUCAR E ALCOOL;1446
12229415000200;Fabricação de açúcar em bruto;S A USINA CORURIPE ACUCAR E ALCOOL;1447
12243301000125;Construção de embarcações de grande porte;ENSEADA INDUSTRIA NAVAL S.A.;1448
12265245000120;Fabricação de açúcar em bruto;USINAS REUNIDAS SERESTA S/A;1449
12285276000142;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;SOCOCO SA INDUSTRIAS ALIMENTICIAS;1450
12285441000166;Serviços de engenharia;PROJETEC - PROJETOS TECNICOS LTDA;1451
12304930000118;Compra e venda de imóveis próprios;MACLA EMPREENDIMENTOS E PARTICIPACOES LTDA.;1452
12310510000144;Desenvolvimento e licenciamento de programas de computador não-customizáveis;ITS -TECNOLOGIA EM INFORMATICA LTDA - ME;1453
12316679000101;Impressão de material para uso publicitário;L. R. PIRCHIO - ME;1454
12327315000127;Comércio varejista de calçados;CLAUDIA TELES ROSA AGUIRRE - EPP;1455
12338078000108;Comércio varejista de tintas e materiais para pintura;VIVA'STAR COMUNICACAO VISUAL LTDA - EPP;1456
12374479000105;Gestão e administração da propriedade imobiliária;WRTR PATRIMONIAL LTDA;1457
12384992000187;Comércio atacadista de livros, jornais e outras publicações;HOOKTON GRAFICA EDITORA E COMERCIO LTDA - ME;1458
12385796000127;Incorporação de empreendimentos imobiliários;PARQUE ARKANSAS INCORPORACOES SPE LTDA;1459
12411822000144;Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;CAVAN ROCBRA INDUSTRIA E COMERCIO DE PRE MOLDADOS DE CONCRETO S/A;1460
12416556000142;Construção de rodovias e ferrovias;S. FRANCO CONSTRUTORA LTDA;1461
12429970000196;Incorporação de empreendimentos imobiliários;SPE INCORPORACAO GENIALE FLAMBOYANT LTDA;1462
12445590000145;Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção;VT COMERCIO DE METAIS LTDA;1463
12467416000101;Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente;CB INTERMEDIACAO DE NEGOCIOS LTDA;1464
12495229000123;Incorporação de empreendimentos imobiliários;SPE BOM PASTOR - EMPREENDIMENTO IMOBILIARIO LTDA;1465
12496288000116;Impressão de material para uso publicitário;BABA ARTES GRAFICAS LTDA - EPP;1466
12512430000171;Comércio varejista de combustíveis para veículos automotores;POSTO MARAPAR LIMITADA - ME;1467
12512762000156;Comércio varejista de fogos de artifício e artigos pirotécnicos;PIROMANIA COMERCIO IMPORTACAO E SERVICOS LTDA - EPP;1468
12513091000148;Incorporação de empreendimentos imobiliários;LED AGUAS CLARAS EMPREENDIMENTO IMOBILIARIO LTDA;1469
12527120000120;Serviços de engenharia;CITY ENGENHARIA E CONSTRUCOES S/A;1470
12563204000110;Serviços de pré-impressão;INTERMIDIA COMUNICACAO VISUAL LTDA - EPP;1471
12574539000133;Construção de edifícios;CONSTRUTORA VENANCIO LTDA;1472
12594283000126;Incorporação de empreendimentos imobiliários;ES BRASIL EMPREENDIMENTOS IMOBILIARIOS SPE LTDA;1473
12594978000299;Incorporação de empreendimentos imobiliários;CAJUEIRO EMPREENDIMENTOS IMOBILIARIOS LTDA;1474
12615607000165;Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;MOVIMENTO EMPREENDIMENTOS E PARTICIPACOES S/A.;1475
12615699000183;Incorporação de empreendimentos imobiliários;PONCIANO EMPREENDIMENTOS IMOBILIARIOS LTDA;1476
12665461000162;Incorporação de empreendimentos imobiliários;SAO SEBASTIAO DESENVOLVIMENTO IMOBILIARIO LTDA.;1477
12665562000133;Incorporação de empreendimentos imobiliários;VISTA DO PARQUE EMPREENDIMENTOS IMOBILIARIOS SPE LTDA;1478
12668551000107;Incorporação de empreendimentos imobiliários;VISTA DO LAGO EMPREENDIMENTOS IMOBILIARIOS SPE LTDA;1479
12682977000115;Agências de publicidade;ANTARES PUBLICIDADES LTDA - EPP;1480
12773878000149;Serviços de organização de feiras, congressos, exposições e festas;CAMAROTE SERVICOS E EVENTOS LTDA- ME;1481
12776148000100;Impressão de livros, revistas e outras publicações periódicas;PRO SOLUTION DIGITAL LTDA - EPP;1482
12793602000122;Comércio a varejo de automóveis, camionetas e utilitários novos;AUTO ACRE VEICULOS LTDA;1483
12801601000182;Locação de automóveis sem condutor;PROTASIO LOCACAO E TURISMO LTDA;1484
12824664000154;Locação de automóveis sem condutor;A A Z LOCADORA DE VEICULOS LTDA - ME;1485
12837403000179;Fotocópias;VCA SERVICOS DIGITAIS LTDA. - EPP;1486
12854865000102;Coleta de resíduos não-perigosos;COELHO DE ANDRADE ENGENHARIA LTDA;1487
12895220000100;Compra e venda de imóveis próprios;MD PE EMPRESARIAL AGAMENON CONSTRUCOES LTDA;1488
12969389000167;Coleta de resíduos não-perigosos;ABRANTES AMBIENTAL LTDA;1489
12989765000185;Incorporação de empreendimentos imobiliários;CAPRI ADMINISTRADORA DE BENS LTDA.;1490
12999617000141;Atividades de teleatendimento;ME PROMOTORA DE VENDAS LTDA;1491
13009421000125;Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;M. ZAMBONI COMERCIO E REPRESENTACOES DE PRODUTOS ALIMENTICIOS E MERCADORIAS EM GERAL - EPP;1492
13017428000199;Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas;TRES IRMAOS REFLORESTAMENTO E PLANTIO LTDA;1493
13020074000131;Incorporação de empreendimentos imobiliários;MILANO ADMINISTRADORA DE BENS LTDA.;1494
13020835000155;Instalação de painéis publicitários;ZOOMPRINT PLOTAGEM E COMPUTACAO GRAFICA EIRELI- ME;1495
13025251000172;Serviços de engenharia;SANEANDO - PROJETOS DE ENGENHARIA E CONSULTORIA LTDA - EPP;1496
13031932000143;Comércio varejista de combustíveis para veículos automotores;AUTO POSTO EXPRESS DE POMPEIA LTDA;1497
13042400000101;Treinamento em desenvolvimento profissional e gerencial;PR MKT GLOBAL PRODUCAO LTDA;1498
13046391000127;Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;JACIELE ALMEIDA DE SOUSA - ME;1499
13057786000125;Incorporação de empreendimentos imobiliários;LIVING SUL EMPREENDIMENTOS IMOBILIARIOS LTDA;1500
13063746000277;Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários;HBR MEDICAL EQUIPAMENTOS HOSPITALARES LTDA;1501
13079781000101;Construção de embarcações de grande porte;CQG CONSTRUCOES OFFSHORE S.A.;1502
13103949000169;Incorporação de empreendimentos imobiliários;MD PE AGUIAR CONSTRUCOES LTDA;1503
13104991000102;Obras de terraplenagem;TERCO TERRAPLANAGEM E COMERCIO S/A;1504
13111509000153;Serviços de engenharia;CONTRUTORA DAMATTA LTDA;1505
13129153000185;Impressão de livros, revistas e outras publicações periódicas;MULTI IDEIAS COMUNICACAO INTEGRADA LTDA;1506
13137265000188;Comércio a varejo de peças e acessórios novos para veículos automotores;MAK - MAQUINAS LTDA - EPP;1507
13138448000118;Construção de edifícios;ROMARELLU CONSTRUCOES LTDA;1508
13142597000150;Comércio atacadista de sementes, flores, plantas e gramas;ELO AGRONEGOCIOS LTDA;1509
13148019000121;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;TRANSGERONIMO TRANSPORTES LTDA. - ME;1510
13170105000130;Construção de edifícios;CONSTRUTORA CUNHA LTDA;1511
13179251000127;Manutenção de redes de distribuição de energia elétrica;ESEC EMPRESA DE SERVICOS ELETRICOS E CONSTRUCOES LTDA.;1512
13205468000164;#NULO;BACIA AMAZONICA PRATICOS S/S LTDA;1513
13231737000167;Outras sociedades de participação, exceto holdings;ST GESTAO DE NEGOCIOS LTDA;1514
13236557000178;Serviços advocatícios;CEZAR BRITTO & ADVOGADOS ASSOCIADOS;1515
13239677000129;Manutenção e reparação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas;DAIANE DE PAULA PEREIRA- ME;1516
13267676000198;Atividades de rádio;LUCIVAN MACHADO - ME;1517
13288025000184;#NULO;REDE SEG GRAFICA E EDITORA EIRELI - EPP;1518
13302628000193;Impressão de material para outros usos;TOCA SERIGRAFICA EIRELI - ME;1519
13304420000103;Incorporação de empreendimentos imobiliários;MELNICK EVEN SAFIRA EMPREENDIMENTO IMOBILIARIO LTDA;1520
13324184000197;Fabricação de laticínios;VIGOR ALIMENTOS S.A;1521
13329021000105;Incorporação de empreendimentos imobiliários;MELNICK EVEN BERILO EMPREENDIMENTO IMOBILIARIO LTDA;1522
13334506000189;Incorporação de empreendimentos imobiliários;SPE GUANUMBI - EMPREENDIMENTO IMOBILIARIO LTDA;1523
13334540000153;Incorporação de empreendimentos imobiliários;SPE PAU FERRO 1158 - EMPREENDIMENTO IMOBILIARIO LTDA;1524
13343037000164;Impressão de material para uso publicitário;WR GRAFICA E EDITORA LTDA - ME;1525
13346687000163;Incorporação de empreendimentos imobiliários;NORCON ROSSI EMPREENDIMENTOS S/A;1526
13362692000160;Atividades de cobrança e informações cadastrais;G.M.S.B.S. - PRESTACAO DE SERVICOS S/A;1527
13362848000102;Holdings de instituições não-financeiras;PINESE HOLDING LTDA;1528
13403526000164;Incorporação de empreendimentos imobiliários;MELNICK EVEN TOPAZIO EMPREENDIMENTO IMOBILIARIO LTDA;1529
13418340000189;Agências de viagens;BRASIL VIDA TURISMO E SERVICOS AUXILIARES AO TRANSPORTE AEREO LTDA- ME;1530
13434970000147;Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios;BALTEAU PRODUTOS ELETRICOS LTDA.;1531
13441988000176;Incorporação de empreendimentos imobiliários;AGUA DAS FLORES EMPREENDIMENTOS IMOBILIARIOS LTDA;1532
13441988000257;Incorporação de empreendimentos imobiliários;AGUA DAS FLORES EMPREENDIMENTOS IMOBILIARIOS LTDA;1533
13446116000109;Incorporação de empreendimentos imobiliários;KANSAS DESENVOLVIMENTO IMOBILIARIO LTDA.;1534
13448383000379;Incorporação de empreendimentos imobiliários;TRINCHEIRAS EMPREENDIMENTOS IMOBILIARIOS LTDA;1535
13457942000307;Construção de edifícios;JEQUIA EMPREENDIMENTOS IMOBILIARIOS LTDA;1536
13466028000160;Incorporação de empreendimentos imobiliários;PALMEIRA EMPREENDIMENTOS IMOBILIARIOS LTDA;1537
13474177000171;Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;L C L LOCACAO COLARES LINHARES LTDA;1538
13478610000147;Outras atividades de publicidade não especificadas anteriormente;FREDERICO RIBEIRO CPF. 083.978.406-64 - ME;1539
13493554000110;Agências de publicidade;DELFINA ESTRATEGIA EM MARKETING E COMUNICACAO LTDA;1540
13495487000172;Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;DESTRO BRASIL DISTRIBUICAO LTDA;1541
13501187000159;Comércio varejista de materiais de construção em geral;CASAS DA AGUA MATERIAIS PARA CONSTRUCAO LTDA;1542
13523073000100;Atividades de administração de fundos por contrato ou comissão;FINANCE MOINHOS - ASSESSORIA E CONSULTORIA EMPRESARIAL LTDA;1543
13529275000169;Gestão e administração da propriedade imobiliária;NORPAR EMPREENDIMENTOS S.A;1544
13531124000145;Extração de minério de manganês;VALE MINA DO AZUL S.A.;1545
13536932000103;Compra e venda de imóveis próprios;BARRASUL EMPREENDIMENTO IMOBILIARIO LTDA;1546
13537735000362;Fabricação de açúcar em bruto;USINA DELTA S.A.;1547
13542410000106;Incorporação de empreendimentos imobiliários;GOBI EMPREENDIMENTOS IMOBILIARIOS S/A;1548
13546353000133;Fabricação de intermediários para plastificantes, resinas e fibras;ACRINOR ACRILONITRILA DO NORDESTE S A;1549
13548038000145;Outras obras de engenharia civil não especificadas anteriormente;ALBERTO COUTO ALVES - BRASIL LTDA.;1550
13558309000143;Outras obras de engenharia civil não especificadas anteriormente;ANDRADE GALVAO ENGENHARIA LTDA;1551
13558627000104;Incorporação de empreendimentos imobiliários;VILLA BRANCA EMPREENDIMENTOS ECONOMICOS LTDA.;1552
13569064000150;Comércio varejista de combustíveis para veículos automotores;REDE HG COMBUSTIVEIS LTDA.;1553
13569064000311;Comércio varejista de combustíveis para veículos automotores;REDE HG COMBUSTIVEIS LTDA.;1554
13571210000181;Outras obras de engenharia civil não especificadas anteriormente;NOVO MUNDO CONSTRUTORA E INCORPORADORA LTDA;1555
13578349000157;Outras obras de engenharia civil não especificadas anteriormente;COESA ENGENHARIA LTDA.;1556
13578869000160;Construção de edifícios;MRM CONSTRUTORA LTDA;1557
13630148000151;Incorporação de empreendimentos imobiliários;SPE SILVIA POZZANA - EMPREENDIMENTO IMOBILIARIO LTDA;1558
13642699000135;Fabricação de açúcar em bruto;AGRO INDUSTRIAS DO VALE DO SAO FRANCISCO SA AGROVALE;1559
13660104000174;Sociedades de crédito, financiamento e investimento - financeiras;AGIPLAN FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1560
13684250000130;Impressão de material para uso publicitário;JANAINA MICHELE DANTAS ALVES - ME;1561
13700035000185;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;ABT TUDO EM BRINDES LTDA - ME;1562
13718634000126;Compra e venda de imóveis próprios;CAPITAL BRASILEIRO DE EMPREENDIMENTOS IMOBILIARIOS LTDA;1563
