cnpj;setor;nome;ID
00584653000165;Aluguel de imóveis próprios;FF AGROPECUARIA E EMPREENDIMENTOS S/A;83
00584755000180;Construção de edifícios;VIA ENGENHARIA S. A.;84
00584755000187;#NULO;#NULO;85
00600068000101;Comércio varejista de combustíveis para veículos automotores;POSTO TUCUNARE LTDA;86
00620518000128;Construção de edifícios;ENGENHARIA CARVALHO ACCIOLY LTDA;87
00629724000107;Corretagem na compra e venda e avaliação de imóveis;PLUS IMOVEIS LTDA;88
00632761000166;Fabricação de embalagens de material plástico;SINCOPLASTIC INDUSTRIA E COMERCIO DE PLASTICOS LTDA;89
00639041000122;Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;INMETRA ENGENHARIA DE SEGURANCA DO TRABALHO LTDA - EPP;90
00647440000135;Comércio varejista de combustíveis para veículos automotores;AUTO SHOPPING QL 06 COMERCIO DE DERIV DE PETROLEO LTDA;91
00650386000187;Comércio atacadista de café em grão;COOPERATIVA DOS CAFEICULTORES DO CERRADO MONTE CARMELO LTDA;92
00652193000165;Construção de rodovias e ferrovias;NAUTILUS ENGENHARIA S/A;93
00676262000251;Atividades de organizações políticas;PARTIDO DOS TRABALHADORES;94
00685464000189;Agências de publicidade;ZEROQUINZE COMUNICACAO TOTAL LTDA - ME;95
00707741000107;#NULO;FLAMAGE GRAFICA E EDITORA LTDA;96
00710530000123;Comércio por atacado de automóveis, camionetas e utilitários novos e usados;DALCAR VEICULOS LTDA.;97
00721142000148;Atividades de organizações associativas patronais e empresariais;ASSOCIACAO DE EMPRESAS DO MERCADO IMOBILIARIO DO DISTRITO FEDERAL;98
00735200000192;Compra e venda de imóveis próprios;VILA DA SERRA SOCIEDADE & EMPREENDIMENTOS LTDA;99
00740230000197;Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;TELSAN ENGENHARIA E SERVICOS LTDA;100
00747303000172;Impressão de material para uso publicitário;GRAFOPEL GRAFICA E EDITORA EIRELI - EPP;101
00756144000172;Incorporação de empreendimentos imobiliários;INCORFAST INCORPORADORA LTDA;102
00758606000190;Impressão de livros, revistas e outras publicações periódicas;MXM GRAFICA E EDITORA LTDA;103
00758756000102;Construção de rodovias e ferrovias;CONSTRUTORA ANCAR LTDA;104
00763832000160;Frigorífico - abate de suínos;FRIGORIFICO INDUSTRIAL VALE DO PIRANGA S/A;105
00778030000123;Comércio atacadista de madeira e produtos derivados;IPE INDUSTRIA E COMERCIO DE MADEIRAS - EIRELI;106
00793483000129;Comércio atacadista de resinas e elastômeros;HITA COMERCIO E SERVICOS LTDA;107
00795423000145;Bancos múltiplos, com carteira comercial;BANCO SEMEAR S.A.;108
00797098000150;Construção de edifícios;EDEC - ENGENHARIA, CONSTRUCAO E COMERCIO LTDA;109
00799366000172;Comércio varejista de combustíveis para veículos automotores;VILLAGE COMERCIO DE DERIVADOS DE PETROLEO LTDA;110
00810218000101;Beneficiamento de arroz;ALIMENTOS MASSON LTDA;111
00816369000177;Fabricação de outros produtos de metal não especificados anteriormente;PARDAL CANEDO BAHIA - ME;112
00818020000174;Incorporação de empreendimentos imobiliários;PDCA ENGENHARIA E CONSTRUCOES LTDA;113
00818517000192;Construção de rodovias e ferrovias;ENPA ENGENHARIA E PARCERIA LTDA;114
00835301000135;Fabricação de embalagens metálicas;LATAPACK-BALL EMBALAGENS LTDA;115
00849898000177;Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;ENDUTEX BRASIL LTDA.;116
00851124000180;Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios;CLARICE ELETRODOMESTICOS LTDA;117
00851567000171;Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente;PRAIAMAR INDUSTRIA COMERCIO & DISTRIBUICAO LTDA;118
00865526000134;Coleta de resíduos não-perigosos;CONSTRURBAN LOGISTICA AMBIENTAL LTDA;119
00928091000120;"Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças ";JG MAQUINAS LTDA - EPP;120
00940956000173;Fabricação de carrocerias para ônibus;COMIL ONIBUS S.A.;121
00951459000170;Extração de outros minerais não-metálicos não especificados anteriormente;COPACEL INDUSTRIA E COMERCIO DE CALCARIO E CEREAIS LTDA;122
00973749000115;Locação de mão-de-obra temporária;TOP SERVICE SERVICOS E SISTEMAS LTDA.;123
00976179000117;Construção de edifícios;LINK ENGENHARIA INDUSTRIA E COMERCIO LTDA;124
00989563000154;Fabricação de sorvetes e outros gelados comestíveis;HJR COMERCIO DE ALIMENTOS LTDA - ME;125
00990466000181;Edição integrada à impressão de livros;CROMOGRAF GRAFICA PRESIDENTE PRUDENTE LTDA - EPP;126
00990842000138;Produção de tubos de aço com costura;ACO CEARENSE INDUSTRIAL LTDA;127
00998596000160;Sociedades de fomento mercantil - factoring;CREDERE CONSULTORIA E FOMENTO MERCANTIL LTDA;128
01008073000192;Comércio varejista de móveis;DISMOBRAS IMPORTACAO, EXPORTACAO E DISTRIBUICAO DE MOVEIS E ELETRODOMESTICOS S/A;129
01014630000188;Outras atividades de serviços pessoais não especificadas anteriormente;M.S. SERVICOS LTDA;130
01024192000139;Construção de edifícios;KUBO ENGENHARIA E EMPREENDIMENTOS LTDA;131
01047181000174;Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;FOCAL CONFECCAO E COMUNICACAO VISUAL LTDA - EPP;132
01057727000178;Construção de edifícios;LAGHI ENGENHARIA LTDA;133
01086932000161;Construção de rodovias e ferrovias;PATROL CONSTRUCOES LTDA;134
01097706000186;Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;ARTE CONTROLADA ESTAMPARIA E SERIGRAFIA LTDA - ME;135
01098983000103;Fabricação de calçados de couro;PAQUETA CALCADOS S.A.;136
01098983009240;Fabricação de calçados de couro;PAQUETA CALCADOS S.A.;137
01100046000145;Construção de rodovias e ferrovias;ENGETERRA - ENGENHARIA E TERRAPLENAGEM LTDA;138
01105558000102;Fabricação de álcool;WD AGROINDUSTRIAL LTDA;139
01120364000178;Comércio varejista de móveis;WG ELETRO S.A;140
01121175000110;Fabricação de outros produtos alimentícios não especificados anteriormente;CICOPAL INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS E HIGIENE PESSOAL LTDA;141
01126142000162;Comércio atacadista de material elétrico;ACELETRICA COMERCIO E REPRESENTACOES LTDA;142
01127225000176;Serviços de engenharia;PREFISAN LTDA;143
01133787000122;Compra e venda de imóveis próprios;PARTNERS PARTICIPACOES LTDA;144
01135153000109;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;TROP COMERCIO EXTERIOR LTDA;145
01140803000104;Serviços de quimioterapia;INSTITUTO DEVITA DE ONCOLOGIA E HEMATOLOGIA LTDA;146
01141830000100;Serviços de engenharia;SANEPAV SANEAMENTO AMBIENTAL LTDA;147
01175647000117;Impressão de material de segurança;ICE CARTOES ESPECIAIS LTDA;148
01199927000165;Impressão de livros, revistas e outras publicações periódicas;MAR-MAR GRAFICA E EDITORA LTDA - ME;149
01241994000109;Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador re;TOTAL DISTRIBUIDORA S/A;150
